AMEL.F,A LAT AM UC ETF EUR,FRA
EUCHBH.SW,UBS ETF ME100HC AC,EBS
YXM-B.TO,FA MORNINGSTAR US MOMENTUM UNHD,TOR
D5BB.DU,DBXT2 I GU 1DD,DUS
RU2K.L,LYXOR INTERNATIONAL ASSET MANAG,LSE
XCSD.MI,DBXT2 AUD CASH 1C,MIL
INDA.MX,ISHS MSCI INDIA ETF,MEX
H4ZK.F,HSBC MSCI TURK G-CT,FRA
FVI,First Trust Value Line Equity Allc ETF,PCX
M9SC.MU,RBS M A RICI M C,MUN
FPX,First Trust US IPO ETF,PCX
EWY.MX,ISHS MSCI S KOR CAP,MEX
GURI,Global X Guru International ETF,PCX
EMMV.SW,OL EM MV UE1CC,EBS
SCO,ProShares UltraShort Bloomberg Crude Oil,PCX
PSRUSA.SW,UBS ETF M PA SR AD,EBS
HAO,Guggenheim China Small Cap ETF,PCX
1974776.F,DZ BK CAP FUND FRN,FRA
KSPB-120.TA,SPBMV/KSM SAL S120,TLV
IEGE.MI,ISHS EUR GOV BD EUR,MIL
DCNG,iPath Seasonal Natural Gas ETN,PCX
DBPS.SG,DBXT MSCI W HC 1C,STU
IBCX.MI,ISH EU CO BN LA EUR,MIL
X61212.TI,4.3 BSKT/SG ISSUE20,TLO
XMAS.MI,DBXT MSCI EM AS 1C,MIL
22349088.DU,CREDIT SUISSE 25VRN,DUS
12899175.DU,DBXT MSCI AFT50 1C,DUS
MDRI.AS,RBS M A D RUSS C,AMS
IQQ5.DE,ISHS MSCI TURK G-CT,GER
EUSA,iShares MSCI USA,PCX
XECS.L,DB X-TRACKERS DBX MSCI EM CONSU,LSE
EL44.F,DK MSCI JP ETF,FRA
EL4L.DU,DK IB LSD 1-3,DUS
BEL.BR,LYX U ETF BEL 20 TR,BRU
U11.PA,N11 EM T E UC ETF U,PAR
20955585.DU,DIB SUKUK SR,DUS
DHS.MX,WT EQ INCOME-SBI,MEX
RALS,ProShares RAFI Long/Short,PCX
IQQD.DU,ISHS UK DIVID G-CT,DUS
EXW3.HM,ISHS STXEUR50,HAM
PXI,PowerShares DWA Energy Momentum ETF,PCX
SEA,Claymore/Delta Global Shipping,PCX
DBXX.MU,DBXT FTSE 100 1D,MUN
TCBI-105.TA,NBI/TACH COMP S 105,TLV
LYSEL.SW,L UC ETF SEL DIV 30,EBS
MSUU.L,UBS AG. London Branch,LSE
SHORT-USD-D-S.ST,CURRENCY/SEB CT 20,STO
KXI.MX,ISHS GLB CON STPL,MEX
XDBC.L,,
37PD.L,AUROPHARMA/HSBC17,LSE
IQQK.SG,ISHS MSCI KOR G-CT,STU
H4ZC.HM,HSBC MSCI JAP G-CT,HAM
BWZ,SPDR Barclays Short Term IntlTrs Bd ETF,PCX
D5BL.SG,DBXT MSCI EU VA 1C,STU
AIGO.L,ETFS COMMODITY SECURITIES LIMIT,LSE
XLVP.L,Source Health Care S&P; US Sel Sect ETF,LSE
10ZC.L,PIOH/HSBC 14 ELN,LSE
UC74.L,UBS ETF (IE) MSCI USA hedged GBP acc,LSE
RWM,ProShares Short Russell2000,PCX
XCS6.L,DB X-TRACKERS DBX MSCI CHINA ET,LSE
XEL2.L,DB X-TRACKERS DBX EURO STOXX 50,LSE
IS01.MU,ISH MSCI WO MI USD,MUN
WLDR.PA,MUL LY W RISK W CC,PAR
EXXT.DU,ISHS NASDAQ-100,DUS
DX2X.DE,DBXT STO E 600 1C,GER
IJPN.AS,ISHS MSCI JAPAN USD,AMS
18MS.DE,AM EU STX 50 UC ETF,GER
DXSW.HM,DBX IBOXX GC 1C,HAM
3204669.SW,L UCITS 15+Y INV GR,EBS
IGEA.L,iShares Emerging Asia Local Govt Bd,LSE
IOIL,IQ Global Oil Small Cap ETF,PCX
25381758.SW,UBSETF MSCI UK AUKD,EBS
UBU1.SG,UBS MSCI INF USD-A-,STU
2038871.MU,DBK CAP FD CL B FRN,MUN
EL48.MU,DK LQ GER CV DV,MUN
MA10.VI,RBS M A D RUSS C,VIE
XACT-VERKSTAD.ST,SHB X NORD IND ETFC,STO
UEF7.DE,UBS ETF BUS 1-5 AD,GER
71LN.L,CERA/HSBC 17,LSE
IBCE.BE,ISHS MSCI US G-CT,BER
IQQW.DU,ISHS MSCI WD G-CT,DUS
HEF-A.TO,HORIZONS ENHD INCOME FINANCIAL ,TOR
LYQY.DU,L UC ETF H YI 30 ,DUS
5X62.DE,COMS C BUF S IC,GER
DXLPE.MC,DBX LPX PE 1C,MCE
XACT-OILSERVICE.O,,
AUCHIH.SW,UBSGLCHFH CHF IDIS,EBS
93WZ.L,RBS/INDEX 15,LSE
HYXU,iShares Global ex USD High Yield Corp Bd,PCX
2425744.F,WACHOVIA FR,FRA
EXX5.HM,ISHS DJ US SLDV,HAM
